path,label,score,dataset
data/pairs_1000_eval/real/pair_0001_ADM.JPEG,0,0.007932345382869244,ADM
data/pairs_1000_eval/real/pair_0002_ADM.JPEG,0,0.0016268293838948011,ADM
data/pairs_1000_eval/real/pair_0003_ADM.JPEG,0,0.002501984592527151,ADM
data/pairs_1000_eval/real/pair_0004_ADM.JPEG,0,0.0055081844329833984,ADM
data/pairs_1000_eval/real/pair_0005_ADM.JPEG,0,0.005005180835723877,ADM
data/pairs_1000_eval/real/pair_0006_ADM.JPEG,0,0.0015701850643381476,ADM
data/pairs_1000_eval/real/pair_0007_ADM.JPEG,0,0.0078032417222857475,ADM
data/pairs_1000_eval/real/pair_0008_ADM.JPEG,0,0.0011703174095600843,ADM
data/pairs_1000_eval/real/pair_0009_ADM.JPEG,0,0.006178855895996094,ADM
data/pairs_1000_eval/real/pair_0010_ADM.JPEG,0,0.003967305179685354,ADM
data/pairs_1000_eval/real/pair_0011_ADM.JPEG,0,0.014649271965026855,ADM
data/pairs_1000_eval/real/pair_0012_ADM.JPEG,0,0.009551525115966797,ADM
data/pairs_1000_eval/real/pair_0013_ADM.JPEG,0,0.007810990326106548,ADM
data/pairs_1000_eval/real/pair_0014_ADM.JPEG,0,0.005250175949186087,ADM
data/pairs_1000_eval/real/pair_0015_ADM.JPEG,0,0.0036911170464009047,ADM
data/pairs_1000_eval/real/pair_0016_ADM.JPEG,0,0.00825035572052002,ADM
data/pairs_1000_eval/real/pair_0017_ADM.JPEG,0,0.001789867877960205,ADM
data/pairs_1000_eval/real/pair_0018_ADM.JPEG,0,0.0023208260536193848,ADM
data/pairs_1000_eval/real/pair_0019_ADM.JPEG,0,0.006802400108426809,ADM
data/pairs_1000_eval/real/pair_0020_ADM.JPEG,0,0.0011720061302185059,ADM
data/pairs_1000_eval/real/pair_0021_ADM.JPEG,0,0.0016112923622131348,ADM
data/pairs_1000_eval/real/pair_0022_ADM.JPEG,0,0.006179591175168753,ADM
data/pairs_1000_eval/real/pair_0023_ADM.JPEG,0,0.004280149936676025,ADM
data/pairs_1000_eval/real/pair_0024_ADM.JPEG,0,0.003086268901824951,ADM
data/pairs_1000_eval/real/pair_0025_ADM.JPEG,0,0.011427144519984722,ADM
data/pairs_1000_eval/real/pair_0026_ADM.JPEG,0,0.003865758655592799,ADM
data/pairs_1000_eval/real/pair_0027_ADM.JPEG,0,0.004331072326749563,ADM
data/pairs_1000_eval/real/pair_0028_ADM.JPEG,0,0.0023975372314453125,ADM
data/pairs_1000_eval/real/pair_0029_ADM.JPEG,0,0.007189909927546978,ADM
